site,type,age,d13
1262,bulk,66.018093,2.196443112
1262,bulk,66.018744,2.18889853
1262,bulk,66.019395,2.238441818
1262,bulk,66.020047,2.261600918
1262,bulk,66.020698,2.393882588
1262,bulk,66.021349,2.517265684
1262,bulk,66.022438,2.855096701
1262,bulk,66.022876,3.083655095
1262,bulk,66.023751,3.348272566
1262,bulk,66.024189,3.186794536
1262,bulk,66.024627,3.372500343
1262,bulk,66.025065,3.301362876
1262,bulk,66.025503,3.246818423
1262,bulk,66.025941,3.276639539
1262,bulk,66.026379,3.275605212
1262,bulk,66.026817,3.386157622
1262,bulk,66.027254,3.382080986
1262,bulk,66.027692,3.29678197
1262,bulk,66.029006,3.262660778
1262,bulk,66.03032,3.431939138
1262,bulk,66.031633,3.279329143
1262,bulk,66.032947,3.349541384
1262,bulk,66.03426,3.371606294
1262,bulk,66.035574,3.286750417
1262,bulk,66.036888,3.383790561
1262,bulk,66.038201,3.373138529
1262,bulk,66.039515,3.293589724
1262,bulk,66.040828,3.208758132
1262,bulk,66.042142,3.29013117
1262,bulk,66.043456,3.075716428
1262,bulk,66.046083,3.123595019
1262,bulk,66.047396,3.219273735
1262,bulk,66.04871,3.173270192
1262,bulk,66.050024,3.261165108
1262,bulk,66.051337,3.137898735
1262,bulk,66.052651,3.134033904
1262,bulk,66.053964,3.293009662
1262,bulk,66.055278,3.226265132
1262,bulk,66.056592,3.102983995
1262,bulk,66.058343,3.11568454
1262,bulk,66.059657,3.327751104
1262,bulk,66.06097,3.044898213
1262,bulk,66.062284,2.992301036
1262,bulk,66.063598,2.935038597
1262,bulk,66.064911,3.108393851
1262,bulk,66.066225,3.283963435
1262,bulk,66.067538,3.059950058
1262,bulk,66.068852,3.110982198
1262,bulk,66.070166,3.153735498
1262,bulk,66.071479,3.194953129
1262,bulk,66.072793,3.198149428
1262,bulk,66.074107,3.173712437
1262,bulk,66.07542,3.307573388
1262,bulk,66.076734,3.289025238
1262,bulk,66.078047,3.285558847
1262,bulk,66.079361,3.092562586
1262,bulk,66.080675,3.000762949
1262,bulk,66.081988,3.005961201
1262,bulk,66.083302,2.843212678
1262,bulk,66.084615,3.116279825
1262,bulk,66.085929,2.893099253
1262,bulk,66.087243,3.05446905
1262,bulk,66.088556,2.961855392
1262,bulk,66.08987,2.856058674
1262,bulk,66.091183,2.971804592
1262,bulk,66.092497,2.890327471
1262,bulk,66.093811,2.797224635
1262,bulk,66.095124,2.991127114
1262,bulk,66.096486,2.980221015
1262,bulk,66.097945,3.014269469
1262,bulk,66.099405,3.058161285
1262,bulk,66.100864,3.026352822
1262,bulk,66.102323,3.132700781
1262,bulk,66.103782,3.194582829
1262,bulk,66.105241,3.185108159
1262,bulk,66.1067,3.133927443
1262,bulk,66.108159,3.209805068
1262,bulk,66.109618,3.136524378
1262,bulk,66.111077,3.23692511
1262,bulk,66.112536,2.967701835
1262,bulk,66.113995,2.870607318
1262,bulk,66.115455,3.026859415
1262,bulk,66.116914,3.125889413
1262,bulk,66.118373,2.969619625
1262,bulk,66.12275,2.90058247
1262,bulk,66.124209,3.098903632
1262,bulk,66.125668,2.980887022
1262,bulk,66.127127,3.151306305
1262,bulk,66.128586,2.980611504
1262,bulk,66.130045,2.999490756
1262,bulk,66.131505,2.871368797
1262,bulk,66.132964,3.056509447
1262,bulk,66.134423,2.940946199
1262,bulk,66.135882,3.009438386
