site,depth,age,d13c
1262,benthic,65.905375,1.96
1262,benthic,65.907625,1.99
1262,benthic,65.909875,1.99
1262,benthic,65.91427632,1.99
1262,benthic,65.91646053,1.98
1262,benthic,65.91864474,1.92
1262,benthic,65.92082895,1.89
1262,benthic,65.92301316,1.93
1262,benthic,65.92519737,1.98
1262,benthic,65.92738158,2.08
1262,benthic,65.92956579,1.98
1262,benthic,65.93393421,2.07
1262,benthic,65.94267105,2.11
1262,benthic,65.94485526,2.09
1262,benthic,65.94703947,1.97
1262,benthic,65.94922368,2.11
1262,benthic,65.95140789,2.14
1262,benthic,65.95359211,2.09
1262,benthic,65.95577632,2.04
1262,benthic,65.96014474,2.11
1262,benthic,65.96232895,2.15
1262,benthic,65.96451316,1.91
1262,benthic,65.96888158,2.06
1262,benthic,65.97325,2.16
1262,benthic,65.97761842,2.07
1262,benthic,65.98198684,2.28
1262,benthic,65.98635526,2.28
1262,benthic,65.99072368,2.29
1262,benthic,65.99432558,2.25
1262,benthic,65.99562791,2.29
1262,benthic,65.99693023,2.21
1262,benthic,65.99823256,2.27
1262,benthic,65.99953488,2.31
1262,benthic,66.00083721,2.35
1262,benthic,66.00213953,2.25
1262,benthic,66.00344186,2.22
1262,benthic,66.00604651,2.12
1262,benthic,66.00734884,2.29
1262,benthic,66.00930233,2.3
1262,benthic,66.01060465,2.32
1262,benthic,66.01190698,2.26
1262,benthic,66.01386047,2.28
1262,benthic,66.01516279,2.29
1262,benthic,66.01646512,2.23
1262,benthic,66.01776744,2.16
1262,benthic,66.0184186,2.25
1262,benthic,66.02309467,2.13
1262,benthic,66.0270355,2.04
1262,benthic,66.02747337,2.03
1262,benthic,66.03710651,2.08
1262,benthic,66.03973373,2.01
1262,benthic,66.04236095,1.94
1262,benthic,66.04498817,1.92
1262,benthic,66.04761538,1.83
1262,benthic,66.05286982,1.86
1262,benthic,66.05681065,1.79
1262,benthic,66.06118935,1.92
1262,benthic,66.06644379,1.7
1262,benthic,66.06907101,1.81
1262,benthic,66.07169822,1.86
1262,benthic,66.07432544,1.93
1262,benthic,66.07957988,1.67
1262,benthic,66.08352071,1.79
1262,benthic,66.08746154,1.64
1262,benthic,66.10110682,1.7
1262,benthic,66.104025,1.85
1262,benthic,66.10840227,1.91
1262,benthic,66.11277955,1.87
1262,benthic,66.11569773,1.77
1262,benthic,66.11861591,1.68
1262,benthic,66.12153409,1.68
1262,benthic,66.12299318,1.64
1262,benthic,66.12882955,1.67
1262,benthic,66.13028864,1.72
1262,benthic,66.13320682,1.7
1262,benthic,66.13466591,1.77
1262,benthic,66.13758409,1.69
1262,benthic,66.14050227,1.63
1262,benthic,66.14487955,1.56
1262,benthic,66.14779773,1.59
1262,benthic,66.14925682,1.58
1262,benthic,66.152175,1.79
1262,benthic,66.15509318,1.8
1262,benthic,66.15801136,1.81
1262,benthic,66.15947045,1.5
1262,benthic,66.16238864,1.69
1262,benthic,66.16530682,1.6
1262,benthic,66.16968409,1.39
1262,benthic,66.17260227,1.5
1262,benthic,66.17552045,1.48
1262,benthic,66.17697955,1.44
1262,benthic,66.17989773,1.5
1262,benthic,66.18135682,1.59
1262,benthic,66.184275,1.59
1262,benthic,66.18573409,1.53
1262,benthic,66.18719318,1.61
1262,benthic,66.18865227,1.49
1262,benthic,66.19157045,1.47
1262,benthic,66.19302955,1.29
1262,benthic,66.19448864,1.51
1262,benthic,66.19886591,1.6
1262,benthic,66.200325,1.56
1262,benthic,66.20634286,1.36
1262,benthic,66.20788571,1.21
1262,benthic,66.20942857,1.26
1262,benthic,66.21405714,1.27
1262,benthic,66.2156,1.48
1262,benthic,66.21714286,1.54
1262,benthic,66.22022857,1.64
1262,benthic,66.22331429,1.64
1262,benthic,66.22485714,1.64
1262,benthic,66.22794286,1.52
1262,benthic,66.22948571,1.47
1262,benthic,66.23102857,1.49
1262,benthic,66.23257143,1.42
1262,benthic,66.23565714,1.4
1262,benthic,66.23874286,1.5
1262,benthic,66.24028571,1.44
1262,benthic,66.24337143,1.7
1262,benthic,66.24645714,1.61
1262,benthic,66.248,1.57
1262,benthic,66.25108571,1.46
1262,benthic,66.25417143,1.44
1262,benthic,66.25571429,1.66
1262,benthic,66.2588,1.53
1262,benthic,66.26034286,1.5
1262,benthic,66.26188571,1.61
1262,benthic,66.26342857,1.64
1262,benthic,66.26651429,1.63
